student id,excused absence rate,unexcused absence rate,attendance rate,absenteeism rate
1900007784,0.0,0.0,0.0,0.0
2000000050,0.0,0.0,0.0,0.0
2000000655,0.0,0.0,0.0,0.0
2000000740,0.0,0.0,0.0,0.0
2000001094,0.0,0.0,0.0,0.0
2000001530,0.0,0.0,0.0,0.0
2000002664,0.0,0.0,0.0,0.0
2000002665,0.0,0.0,0.0,0.0
2000002677,0.0,0.0,0.0,0.0
2000002924,0.0,0.0,0.0,0.0
2000003177,0.0,0.0,0.0,0.0
2000003308,0.0,0.0,0.0,0.0
2000003418,0.0,0.0,0.0,0.0
2000003640,0.0,0.0,0.0,0.0
2000003649,0.0,0.0,0.0,0.0
2000003730,0.0,0.0,0.0,0.0
2000004070,0.0,0.0,0.0,0.0
2000004220,0.0,0.0,0.0,0.0
2000004278,0.0,0.0,0.0,0.0
2000004365,0.0,0.0,0.0,0.0
2000004490,0.0,0.0,0.0,0.0
2000005479,0.0,0.0,0.0,0.0
2000006161,0.0,0.0,0.0,0.0
2000006633,0.0,0.0,0.0,0.0
2011549832,0.0,0.0,0.0,0.0
2011551765,0.0,0.0,0.0,0.0
2100003779,0.0,0.0,0.0,0.0
2100011310,0.0,0.0,0.0,0.0
2200004486,0.0,0.0,0.0,0.0
2000000998,0.0,0.0,0.0,0.0
2000001001,0.0,0.0,0.0,0.0
2000001008,0.0,0.0,0.0,0.0
2000001452,0.0,0.0,0.0,0.0
2000002097,0.0,0.0,0.0,0.0
2000002380,0.0,0.0,0.0,0.0
2000002441,0.0,0.0,0.0,0.0
2000002449,0.0,0.0,0.0,0.0
2000002514,0.0,0.0,0.0,0.0
2000002672,0.0,0.0,0.0,0.0
2000002725,0.0,0.0,0.0,0.0
2000002779,0.0,0.0,0.0,0.0
2000003074,0.0,0.0,0.0,0.0
2000003076,0.0,0.0,0.0,0.0
2000003127,0.0,0.0,0.0,0.0
2000003434,0.0,0.0,0.0,0.0
2000003979,0.0,0.0,0.0,0.0
2000004154,0.0,0.0,0.0,0.0
2000004387,0.0,0.0,0.0,0.0
2000004457,0.0,0.0,0.0,0.0
2000004701,0.0,0.0,0.0,0.0
2000004900,0.0,0.0,0.0,0.0
2000005302,0.0,0.0,0.0,0.0
2000006018,0.0,0.0,0.0,0.0
2000006345,0.0,0.0,0.0,0.0
2000006638,0.0,0.0,0.0,0.0
2011549746,0.0,0.0,0.0,0.0
2100004729,0.0,0.0,0.0,0.0
1900007549,0.0,0.0,0.0,0.0
1900007763,0.0,0.0,0.0,0.0
1900009380,0.0,0.0,0.0,0.0
1911547275,0.0,0.0,0.0,0.0
1911547710,0.0,0.0,0.0,0.0
1911549027,0.0,0.0,0.0,0.0
1911549123,0.0,0.0,0.0,0.0
1911549351,0.0,0.0,0.0,0.0
2000000558,0.0,0.0,0.0,0.0
2000003678,0.0,0.0,0.0,0.0
2000004897,0.0,0.0,0.0,0.0
2000004968,0.0,0.0,0.0,0.0
2000005153,0.0,0.0,0.0,0.0
2100004923,0.0,0.0,0.0,0.0
1900009054,0.0,0.0,0.0,0.0
2000004110,0.0,0.0,0.0,0.0
2000005824,0.0,0.0,0.0,0.0
1900006098,0.0,0.0,0.0,0.0
1900008106,0.0,0.0,0.0,0.0
1911548779,0.0,0.0,0.0,0.0
2000002491,0.0,0.0,0.0,0.0
2000003905,0.0,0.0,0.0,0.0
2000004762,0.0,0.0,0.0,0.0
2200000578,0.0,0.0,0.0,0.0
2200000601,0.0,0.0,0.0,0.0
2200002177,0.0,0.0,0.0,0.0
2200002309,0.0,0.0,0.0,0.0
2200002340,0.0,0.0,0.0,0.0
2200002438,0.0,0.0,0.0,0.0
2200002455,0.0,0.0,0.0,0.0
2200002540,0.0,0.0,0.0,0.0
2200003174,0.0,0.0,0.0,0.0
2200003539,0.0,0.0,0.0,0.0
2200003614,0.0,0.0,0.0,0.0
2200003885,0.0,0.0,0.0,0.0
2200003930,0.0,0.0,0.0,0.0
2200004133,0.0,0.0,0.0,0.0
2200004202,0.0,0.0,0.0,0.0
2200004759,0.0,0.0,0.0,0.0
2200006775,0.0,0.0,0.0,0.0
2200007007,0.0,0.0,0.0,0.0
2200007066,0.0,0.0,0.0,0.0
2200007072,0.0,0.0,0.0,0.0
2200007143,0.0,0.0,0.0,0.0
2200007239,0.0,0.0,0.0,0.0
2200007240,0.0,0.0,0.0,0.0
2200007402,0.0,0.0,0.0,0.0
2200007710,0.0,0.0,0.0,0.0
2200008421,0.0,0.0,0.0,0.0
2200008609,0.0,0.0,0.0,0.0
2200008716,0.0,0.0,0.0,0.0
2200008798,0.0,0.0,0.0,0.0
2200008906,0.0,0.0,0.0,0.0
2200009232,0.0,0.0,0.0,0.0
2200009825,0.0,0.0,0.0,0.0
2200009907,0.0,0.0,0.0,0.0
2200010444,0.0,0.0,0.0,0.0
2200000215,0.0,0.0,0.0,0.0
2200000268,0.0,0.0,0.0,0.0
2200000318,0.0,0.0,0.0,0.0
2200000333,0.0,0.0,0.0,0.0
2200000337,0.0,0.0,0.0,0.0
2200000368,0.0,0.0,0.0,0.0
2200000400,0.0,0.0,0.0,0.0
2200000405,0.0,0.0,0.0,0.0
2200000548,0.0,0.0,0.0,0.0
2200000584,0.0,0.0,0.0,0.0
2200001248,0.0,0.0,0.0,0.0
2200001259,0.0,0.0,0.0,0.0
2200001268,0.0,0.0,0.0,0.0
2200001377,0.0,0.0,0.0,0.0
2200001381,0.0,0.0,0.0,0.0
2200001450,0.0,0.0,0.0,0.0
2200001492,0.0,0.0,0.0,0.0
2200002208,0.0,0.0,0.0,0.0
2200002238,0.0,0.0,0.0,0.0
2200002381,0.0,0.0,0.0,0.0
2200002824,0.0,0.0,0.0,0.0
2200004236,0.0,0.0,0.0,0.0
2200004825,0.0,0.0,0.0,0.0
2200005231,0.0,0.0,0.0,0.0
2200005605,0.0,0.0,0.0,0.0
2200005914,0.0,0.0,0.0,0.0
2200006185,0.0,0.0,0.0,0.0
2200006612,0.0,0.0,0.0,0.0
2200006625,0.0,0.0,0.0,0.0
2200008438,0.0,0.0,0.0,0.0
2200009837,0.0,0.0,0.0,0.0
2200009882,0.0,0.0,0.0,0.0
2200010565,0.0,0.0,0.0,0.0
2200011039,0.0,0.0,0.0,0.0
2200011573,0.0,0.0,0.0,0.0
2200011866,0.0,0.0,0.0,0.0
2100004235,0.0,0.0,0.0,0.0
2200000327,0.0,0.0,0.0,0.0
2200001108,0.0,0.0,0.0,0.0
2200001483,0.0,0.0,0.0,0.0
2200002160,0.0,0.0,0.0,0.0
2200002193,0.0,0.0,0.0,0.0
2200002333,0.0,0.0,0.0,0.0
2200002592,0.0,0.0,0.0,0.0
2200002925,0.0,0.0,0.0,0.0
2200003109,0.0,0.0,0.0,0.0
2200003659,0.0,0.0,0.0,0.0
2200003906,0.0,0.0,0.0,0.0
2200004209,0.0,0.0,0.0,0.0
2200004831,0.0,0.0,0.0,0.0
2200005098,0.0,0.0,0.0,0.0
2200005193,0.0,0.0,0.0,0.0
2200005824,0.0,0.0,0.0,0.0
2200005842,0.0,0.0,0.0,0.0
2200006122,0.0,0.0,0.0,0.0
2200006124,0.0,0.0,0.0,0.0
2200006748,0.0,0.0,0.0,0.0
2200007079,0.0,0.0,0.0,0.0
2200007177,0.0,0.0,0.0,0.0
2200007265,0.0,0.0,0.0,0.0
2200008171,0.0,0.0,0.0,0.0
2200009261,0.0,0.0,0.0,0.0
2200009428,0.0,0.0,0.0,0.0
2200009501,0.0,0.0,0.0,0.0
2200009571,0.0,0.0,0.0,0.0
2200010174,0.0,0.0,0.0,0.0
2200010286,0.0,0.0,0.0,0.0
2200010487,0.0,0.0,0.0,0.0
2200011240,0.0,0.0,0.0,0.0
2200011295,0.0,0.0,0.0,0.0
2200011643,0.0,0.0,0.0,0.0
2000001371,0.0,0.0,0.0,0.0
1911546534,0.0,0.0,0.0,0.0
2000003645,0.0,0.0,0.0,0.0
2000004394,0.0,0.0,0.0,0.0
2100004092,0.0,0.0,0.0,0.0
2100008882,0.0,0.0,0.0,0.0
2100010440,0.0,0.0,0.0,0.0
2200000633,0.0,0.0,0.0,0.0
2200000873,0.0,0.0,0.0,0.0
2200000946,0.0,0.0,0.0,0.0
2200002135,0.0,0.0,0.0,0.0
2200003471,0.0,0.0,0.0,0.0
2200004766,0.0,0.0,0.0,0.0
2200006695,0.0,0.0,0.0,0.0
2100002240,0.0,0.0,0.0,0.0
2100003991,0.0,0.0,0.0,0.0
2200006071,0.0,0.0,0.0,0.0
2200001578,0.0,0.0,0.0,0.0
2200002464,0.0,0.0,0.0,0.0
2200002704,0.0,0.0,0.0,0.0
2200003358,0.0,0.0,0.0,0.0
2200003451,0.0,0.0,0.0,0.0
2200003649,0.0,0.0,0.0,0.0
2200003893,0.0,0.0,0.0,0.0
2200006549,0.0,0.0,0.0,0.0
2200008277,0.0,0.0,0.0,0.0
2200009759,0.0,0.0,0.0,0.0
2200010474,0.0,0.0,0.0,0.0
2200011116,0.0,0.0,0.0,0.0
2100002939,0.0,0.0,0.0,0.0
2100003547,0.0,0.0,0.0,0.0
2100003936,0.0,0.0,0.0,0.0
2100004337,0.0,0.0,0.0,0.0
2100004703,0.0,0.0,0.0,0.0
2100005013,0.0,0.0,0.0,0.0
2100005423,0.0,0.0,0.0,0.0
2100005858,0.0,0.0,0.0,0.0
2100006037,0.0,0.0,0.0,0.0
2100006642,0.0,0.0,0.0,0.0
2100006970,0.0,0.0,0.0,0.0
2100007916,0.0,0.0,0.0,0.0
2100009011,0.0,0.0,0.0,0.0
2100010263,0.0,0.0,0.0,0.0
2100010687,0.0,0.0,0.0,0.0
2100011754,0.0,0.0,0.0,0.0
2100012066,0.0,0.0,0.0,0.0
2100002099,0.0,0.0,0.0,0.0
2100002891,0.0,0.0,0.0,0.0
2100002892,0.0,0.0,0.0,0.0
2100003025,0.0,0.0,0.0,0.0
2100003284,0.0,0.0,0.0,0.0
2100003978,0.0,0.0,0.0,0.0
2100003979,0.0,0.0,0.0,0.0
2100004426,0.0,0.0,0.0,0.0
2100004816,0.0,0.0,0.0,0.0
2100005011,0.0,0.0,0.0,0.0
2100005569,0.0,0.0,0.0,0.0
2100005686,0.0,0.0,0.0,0.0
2100005929,0.0,0.0,0.0,0.0
2100006285,0.0,0.0,0.0,0.0
2100006443,0.0,0.0,0.0,0.0
2100008035,0.0,0.0,0.0,0.0
2100008107,0.0,0.0,0.0,0.0
2100008134,0.0,0.0,0.0,0.0
2100008178,0.0,0.0,0.0,0.0
2100009421,0.0,0.0,0.0,0.0
2100009490,0.0,0.0,0.0,0.0
2100009840,0.0,0.0,0.0,0.0
2100010315,0.0,0.0,0.0,0.0
2100011740,0.0,0.0,0.0,0.0
2100012040,0.0,0.0,0.0,0.0
2100012291,0.0,0.0,0.0,0.0
2100002375,0.0,0.0,0.0,0.0
2100002440,0.0,0.0,0.0,0.0
2100004330,0.0,0.0,0.0,0.0
2100004750,0.0,0.0,0.0,0.0
2100005112,0.0,0.0,0.0,0.0
2100005113,0.0,0.0,0.0,0.0
2100006019,0.0,0.0,0.0,0.0
2100006053,0.0,0.0,0.0,0.0
2100007107,0.0,0.0,0.0,0.0
2100009299,0.0,0.0,0.0,0.0
2100011741,0.0,0.0,0.0,0.0
2100011848,0.0,0.0,0.0,0.0
2100011852,0.0,0.0,0.0,0.0
2100011976,0.0,0.0,0.0,0.0
2100011992,0.0,0.0,0.0,0.0
2100012116,0.0,0.0,0.0,0.0
2100004822,0.0,0.0,0.0,0.0
2100007994,0.0,0.0,0.0,0.0
2100012076,0.0,0.0,0.0,0.0
2100004451,0.0,0.0,0.0,0.0
2100004998,0.0,0.0,0.0,0.0
2100009025,0.0,0.0,0.0,0.0
2100010779,0.0,0.0,0.0,0.0
2100011230,0.0,0.0,0.0,0.0
